task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	01/7ed4d57b	10001	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRX1603629_T1)	COMPLETED	0	2025-06-10 11:20:21	4h 13m 46s	4h 13m 46s	617.5%	31.1 GB	40.4 GB	12.3 GB	4.1 GB
2	02/7ce42c82	10002	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRX1603630_T1)	COMPLETED	0	2025-06-10 11:20:21	3h 26m 30s	3h 26m 30s	548.3%	30.5 GB	39.7 GB	12.3 GB	4.1 GB
3	03/008a05a6	10003	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRX1603392_T1)	FAILED	137	2025-06-10 11:20:21	2h 6m 9s	2h 6m 9s	557.9%	37.1 GB	48.3 GB	12.3 GB	4.1 GB
4	04/9755d4c1	10004	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRX1603392_T1)	COMPLETED	0	2025-06-10 11:20:21	3h 54m 40s	3h 54m 40s	527.9%	37.6 GB	48.9 GB	12.3 GB	4.1 GB
5	05/8a9a021e	10005	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRX1603393_T1)	COMPLETED	0	2025-06-10 11:20:21	4h 20m 34s	4h 20m 34s	485.5%	28.3 GB	36.8 GB	12.3 GB	4.1 GB
6	06/b9d179e0	10006	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRX1603388_T1)	FAILED	137	2025-06-10 11:20:21	2h 9m 1s	2h 9m 1s	603.6%	39.6 GB	51.5 GB	12.3 GB	4.1 GB
7	07/7eed8d14	10007	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRX1603388_T1)	COMPLETED	0	2025-06-10 11:20:21	2h 30m 39s	2h 30m 39s	519.9%	33.3 GB	43.2 GB	12.3 GB	4.1 GB
8	08/f3c64af7	10008	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRX1603389_T1)	COMPLETED	0	2025-06-10 11:20:21	3h 10m 33s	3h 10m 33s	601.8%	37.1 GB	48.3 GB	12.3 GB	4.1 GB
9	09/a46d6753	10009	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRX1603391_T1)	COMPLETED	0	2025-06-10 11:20:21	2h 29m 42s	2h 29m 42s	630.8%	34.7 GB	45.1 GB	12.3 GB	4.1 GB
10	0a/be3edc0a	10010	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRX1603390_T1)	COMPLETED	0	2025-06-10 11:20:21	3h 46m 17s	3h 46m 17s	610.3%	31.6 GB	41.0 GB	12.3 GB	4.1 GB
